VARIABLE,TIME/CHAINAGE,0.000000,2000.000,4000.000
WvHt,22/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,22/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,22/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,23/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,23/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,23/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,24/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,24/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,24/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,25/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,25/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,25/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,26/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,26/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,26/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,27/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,27/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,27/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,28/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,28/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,28/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,29/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,29/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,29/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,30/04/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,30/04/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,30/04/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,01/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,01/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,01/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,02/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,02/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,02/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,03/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,03/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,03/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,04/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,04/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,04/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,05/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,05/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,05/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,06/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,06/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,06/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,07/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,07/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,07/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,08/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,08/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,08/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,09/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,09/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,09/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,10/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,10/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,10/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,11/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,11/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,11/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,12/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,12/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,12/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,13/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,13/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,13/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,14/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,14/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,14/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,15/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,15/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,15/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,16/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,16/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,16/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,17/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,17/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,17/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,18/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,18/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,18/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,19/05/2000 00:00:00,1.118932,1.118932,1.118932
WvPer,19/05/2000 00:00:00,10.00000,10.00000,10.00000
WvDir,19/05/2000 00:00:00,90.00000,90.00000,90.00000
WvHt,20/05/2000 00:00:00,1.118932,1.118932,1.118932
